,Ground_truth,Prediction,trial,trial2
1312,"to experience such catastrophes as the loss of a submarine ,","to experience such catastrophes as the loss of a submarine ,",,
1313,though in peace time these happenings are few and,though in peace time these happenings are few and,,
1314,This is the testing time for all . The affair blows up into,This is the testing time for all . The affair blows up into,,
1315,a national disaster and then when it is all over life,a national disaster and then when it is all over life,,
1316,must continue as before . During this period the Captain,must contince as before . During this period the Captain,,
1317,must present an unruffled appearance and carry on as,must present an unmulffled appearance and carry on as,,
1318,if nothing unusual has happened . Harry Turton had,if nothing unusual has happened . Harry Turton had,,
1319,"written letters to the bereaved , had visited many in the","woritten letters to the bereaved , had visited many in the",,
1320,"locality , had been interviewed by the Press , had driven","locality , had been interviewed by the Press , had driven",,
1321,his surviving submarines a good deal harder than,his surviving submarines a good deal harder than,,
1322,usual and in fact had applied all the usual specifics,unsual and in fact had applied all the usual specifics,,
1323,He rode down to where I was waiting . I was,He rocle dawn to where I was waiting . I was,,
1324,thinking what a skill he had for reading,"thinking what a skill he had far reaclig,",,
1325,"my mind . "" This would be as good a place","my mind . "" This would he as goud a place",,
1326,"for a hold-up as any , "" he said , reining in","for a hold-up as any , "" he said , reing in",,
1327,"near me . "" Yes , "" I said . "" It 'll be here to-","new me . "" Yes , "" I said . "" It 'll be nere to-",,
1328,"morrow as likely as not . "" I paused . "" Miss","morrow as likely as not . "" Ipained . "" Mis",,
1329,"Jeannie 'll be on that coach , Dan . ""","Seannie 'll be on that couch , Dan . """,,
1330,""" Yes , "" he said . "" I know . "" "" No harm must come"," Yes , "" he said . ' Monew . "" "" No haom must conp",,
1331,"to her , Dan . "" "" She 'll be all right . It 's the","to her , Dan . "" "" She ' l he all right . Is the",,
1332,men who 'll be after that coach I 'm interested,men who'll be after that couch I 'm interasted,,
1333,"in , Johnny . "" "" I know . But if lead starts","in , Johny . "" "" Iknw . But if lead sterts",,
1334,"flying she might be in danger . "" "" That 's so .","flips she mgut he in danges . "" "" Thany so .",,
1335,But I reckon they 'll be too busy shooting at,But Iredon they 'll he too bung choodg ut,,
1336,us to bother with the coach and the folks,us to bother with the couch and the lolles,,
1337,""" Maybe , "" I said . "" But we 've got to remember"," Mayke , "" I said . "" But we 've got to remenher",,
1338,"that girl all the time , Dan . I feel kind","that gurl all the tire , Pan . I lael kind",,
1339,"of responsible for her . "" "" Of course , "" he said ,","of resporishle fur her . "" "" Of couse , "" he said ,",,
1340,giving me one of his strange looks . Then he,giving me one of his sbage lodes . Then he,,
1341,"turned the conversation . "" Let 's ride over","turned the conersation . "" Let ) vide wher",,
1342,and have a look at the mining camp .,and have a look ut the ming comp .,,
1343,After all it 's them we 're supposed to be,Alter all its them welke suppored to be,,
1344,"working for , as well as the townsfolk and","worling for , as well as the tomnslolk and",,
1345,With something of a start I remembered the,with sonethng of a sta2 I remonhered the,,
1346,man who 'd brought us into this business .,man who'd brought us into this bussnen .,,
1347,""" Maybe you don't know about Appleton ,","""n Mayhe you don't know about Appleton ,",,
1348,"Dan ? "" "" Know what ? "" "" That he 's dead , ""","ben ? "" "" Inow that ? ' "" That hey dead , """,,
1349,I said . I watched him because I was always,I said . I watched him became I was always,,
1350,fascinated by the way he looked when you,fascinated by the way he looked when you,,
1351,"tried to surprise him . "" Dead ? "" he said . "" Yes .","bried to surprise him . "" Pead ? "" he said . "" Yes .",,
1352,Dead . Shuffled out of the deck . Blasted,bead . Sulled out of the chek . Blasted,,
1353,down with a shotgun outside the Palace,down with a hotyun outride the Palace,,
1354,""" Fenton or Somers , "" he said . "" Or the Town",""" Fenton as Somers , "" he said . "" Or the joun",,
1355,"Marshal , "" I added . His face was fixed ,","Marshal , ' I added . His face was fixed ,",,
1356,"unreadable as a rock . "" Let 's get over to the","unreadable as a roce . "" Lets gut over to the",,
1357,"mining camp , "" he said abruptly . He wheeled","mining camp , "" he said ubpupty . He wheeled",,
1358,his horse back off the trail and up the slope,his hose back afl the trail and up the dope,,
1359,leading to the ridge . I followed . From the,leaching to the ridge . I lollowedg From the,,
1360,top you could see something of the wild hill,top you could tee some thing of the wild bull,,
1361,country that lay all round Gilburg Crossing .,country that loy all crond gilbug Croring .,,
1362,The air was fresh and clear and you,The cir was lresh and clear and yeu,,
1363,could see far over west and north for many,could see far west and north for many,,
1364,miles . The real high country of the Rockies,mnles . The real high conty of the Rockies,,
1365,lifted up in the distance like a pale water-,lifted up in the chstance we a pale waler-,,
1366,colour drawing . Between us and that lay,colowr draning . Between us and that loy,,
1367,"a vast stretch of hills , canyons , buttes and","a vest orelds of hills canyous , bulles and",,
1368,""" The mine-workings lie north of the town , ""","The mine-worings he noth of the town , '""",,
1369,"said Dan . "" If we head west we ought to","said Dan . "" If we head west we ought to",,
1370,"cut the trail leading from Gilburg to the north . """,cut the Souil leading bom gilby to the noth . ',,
1371,"So we swung west , making slow going over","So me swury west , maling slow joing over",,
1372,"rough country , sliding on shale , climbing down","rough county , sliding on whale , limbing dom",,
1373,"into draws , circling a big mesa by a","into draws , circding a big men by a",,
1374,"four or five mile valley , sandy-floored . It","four or live mile vally , sandy-lorced . It",,
1375,got hotter as the day wore on and we rested,got haller as the day wre on and he rosted,,
1376,gratefully by a small creek where we watered,grulefuly by a small beek where he watered,,
1377,the horses and drank enough to cure our,the harges and drank egrough to cure ow,,
1378,An hour's riding brought us to a trail that,An howr's riding brought us to a tail that,,
1379,we figured would lead to the miners' camp .,te lgused would lead to the mners camp -,,
1380,We turned north into it and after about four,We tuoned noth into it and after about for,,
1381,miles it led into a small canyon which,miles it led Iuke a smull cangon which,,
1382,opened out into a wide shallow draw .,opened out into a hile shallow craw .,,
1383,Here in a dried-up creek-bed we found,Htere in a hiad-up creel-hed he fomel,,
1384,the miners at work . They were scattered,the miners at work . Thy were scallered,,
1385,over a fairly wide area working singly or,over a fairly micle wea worling singly or,,
1386,We didn't approach unchallenged . Just short,We didnt approach unchallengel . Iut snot,,
1387,of the diggings there was a roughly-built,of the cligzigs there was a roughly - bull,,
1388,shack and as we got near someone inside bawled,shacle and as We gut new soveone insicl bunked,,
1389,"out , "" If you come any closer , I 'll sure blow","wond , "" If yur come any closer , 'l sure blow",,
1390,"your whiskers off . "" "" Take it easy , mister , "" I sang","your whishers olf . "" "" Tuke it eory , mither , ' Isay",,
1391,"out . "" We don't aim to come any closer and we 've","out . "" We don't aim to core any clos and neive",,
1392,got no whiskers so as you can see . Just you,gut no wholes so as you con see . But you,,
1393,go and tell Nick Dowd we 've come to talk,go and tell Nicke Dowd we 've come to talk,,
1394,"to him about what happened last night . """,to him ubout what happered lost nigut . ',,
1395,""" Oh , "" said the unseen guard . He blew a","oh , "" said the unseen suard . He blew a",,
1396,"whistle then , loud and shrill . The gun barrel","Whrotle then , land and Swill . The yun borel",,
1397,peeking out through a hole in the shack never,peeking out twrough a hole in the Shack never,,
1398,"wavered . We sat our horses , waiting . "" Looks as","wavered . We sut owr horses , waity . "" louks us",,
1399,"though they 're expecting trouble , "" I said . "" Where","though the y 're expect'g trouble , "" I said . "" Where",,
1400,"there 's gold and women there 's always trouble , ""","there's gold and womon there 's ulwongs trouble , """,,
1401,"observed Dan , shifting about in his saddle . He","observed Dan , thilty about in his suddle . He",,
1402,Mr. Copthorne knew a way round by the side,Mr. Copthome hnew a way round by the side,,
1403,of the church where there was a small open,of the church where there was a rmell open,,
1404,outbuilding where the grave digger kept his spades,onthilding where the grave digger hept his spades,,
1405,and forks and tidying up implements . It might,and fork and tidying up implements . Aft might,,
1406,"be open . It was . He entered , and seated himself","be open . At was . He entered , and reated himself",,
1407,in a huddle upon an upturned wheelbarrow .,in a huddle upon an uptned whelbarrow .,,
1408,His curious headgear fell off . Strange things,Hhis curious headgeas fell off . Strange things,,
1409,were going on in his bewildered brain . When,were going on in his bewildered brain . When,,
1410,a man was drowning and towards his last,a man was drowning and toward his last,,
1411,gasp it was scientifically supposed his whole,ganp it was scientifically supposed his whole,,
1412,life came up before him in some cinematic,life came up Before him in some cinemetic,,
1413,Mr. Copthorne was on dry land in a church,Mr. Copthorne was on dry land in a church #tt,,
1414,"outbuilding , but this was happening to him now . He",out building . but this was hoppaning to him now . He,,
1415,"saw himself as a sulky , ugly , malformed , repressed","saw himself as a sully , ugly , melformned , represed",,
1416,"boy , then a young youth . He saw himself refusing","boy , then a yauy youth . He saw himself refus ig",,
1417,baptism according to the sect his parents belonged to .,beptism according to the sect his poents belouget tor,,
1418,Walking out of the chapel later on . Continuing,Walking out of the chapel later on Continuing,,
1419,"on , his leaping mind flashed pictures of chi-","on , his leapig mind flashed pictures of chi-",,
1420,"canery and corruption , the growth of the dea-","canery and corruption , the growth of the clea-",,
1421,dly decadence and absorption in debase-,adlly decadence and absarption in debase-,,
1422,ment and Satanic debauchery .,ment and Satanic debauchery .,,
1423,"He didn't know what to make of it , but it","the didn't know what to make of it , but it",,
1424,was Mr. Copthorne all right . Perhaps he had,was Mr. Copthorne all right . Perhaps he had,,
1425,been attending some kind of fancy dress do,been attending some kind of fancy dress do,,
1426,"in London . Very strange his eyes looked . Mad ,","in London . Very strange his eyes looked . Mad ,",,
1427,"hunted eyes , as if the poor fellow had rocks in","hunted eyes , as if the poor fellow had vocks in",,
1428,"his head , so the verger described afterwards .","his head , so the verger discribed after wards .",,
1429,""" You 're very early about , sir , "" he said , trying to",""" You've very early about , six , "" he said , lrying to",,
1430,""" Yes . I travelled down from London","""n dfes . I tavelled down foum Landan",,
1431,"as the dawn was breaking , and","as the dawn was breating , ond",,
1432,the thought came to me I 'd like,the thought came to me Tlike,,
1433,to take a look at the church . I 've,to take a look at the churcl . Trve,,
1434,never been inside . Very remiss of,never been imsizle . reminof,,
1435,"me , "" said Mr. Copthorne . The verger","me , "" sand hr Coplhore . The neyer",,
1436,"led the way in . "" The stained glass","led the wag in . "" The stainedglan ",,
1437,"windows , sir , they date back to","svindocs , sir , they date bed to",,
1438,"the fourteenth century . ""","the facrtentl centay . """,,
1439,There were few passengers on the plane and Gavin was,there were few passengers on the plane and Gavin was,,
1440,"quickly through the customs . "" Gay ! "" "" Gavin ! "" The girl","quikly through the crstoms . "" Gay ! "" "" Gavin ! "" The girl",,
1441,and her luggage had disappeared and they were alone,and her lnggage had disappeared and thay were alone,,
1442,together . The porter brought Gavin's bag out to the,together . The porter brought bavin's bay out to the,,
1443,"taxi . "" Just a moment , darling , "" Gavin pressed her","daxi . "" Just a moment , dacling . "" Gavin pressed her",,
1444,"hand and smiled . "" I want to check up on the","hand and smiled . "" I want to chreck up on the",,
1445,Gay went out to the waiting,Gay went out to the waiting,,
1446,"taxi , and then found that in","Htaxi , and then faund that in",,
1447,the excitement of meeting,the excitement of meeting,,
1448,Gavin she had left her sun-,gowin she had left her sun-,,
1449,glasses on the veranda . She,glarses on the verauoece . The,,
1450,went quickly back to fetch them .,went quickly back to fetch them.,,
1451,Gavin and the girl who had got,Gavin and the gire who had got,,
1452,off the plane with him were talking .,off the plane with him were talling,,
1453,He was writing something in his,He was writing something in his,,
1454,"pocket-book , with a sick feeling","pocket-book , with a side fee eing",,
1455,of despair Gay knew that of course,of despair Gay knew that of course,,
1456,"Gay , sitting opposite Gavin on the terrace could","Gay , sitting opposite Gavin on the terrac could",,
1457,"hardly believe that she was the same girl ,","hardly believe that she was the same gial ,",,
1458,"miserable , shy , who had sat at the little","miserable , shy , who had sat at the lettler",,
1459,table for the first time a few days ago .,table for the first time a tw days ago .,,
1460,Gavin raised his glass to her and smiled,gavin raised his glors to her and smiled,,
1461,"and Gay's heart turned over . "" I 'd like","and Gay's heal turned over . "" ' 'd lke",,
1462,"to do that . "" Gavin drained his glass","to do that . "" Gouin drained his glar s",,
1463,""" And then we 'll go for a stroll along the",""" And then we ' 2e go for a stroll along the",,
1464,"beach . A moon like this mustn't be wasted . ""","beac . A moon like this mustn't be wasted . """,,
1465,He gestured towards the bay where the full,He geshured towards the bay where the full,,
1466,"moon was just rising over the rocks , then","moon was just rising or the rodo , then",,
1467,laid his hand on hers . Gay smiled at him,aid his vand on hors . Goy quiled at him,,
1468,"again , happy beyond belief , knowing that","again , happy beynd belief , unowing that",,
1469,now Gavin was in love with her and her,now gouin was in dove with hor B her,,
1470,"only , yet remembering for a second the","only , yet rewambering for a soond the",,
1471,kisses she had seen him giving Elaine .,hisses she hod seen him giving Eaine .,,
1472,"All that was part of the past , she would put it behind her . She","All that was part of the past , she would put it behind her . She",,
1473,"would never be jealous again , would even take Larry's advice and","would never be fealousagain , would even take Parry's advece and",,
1474,"look the other way if need be . "" I say ! "" Gavin was looking over her","look the other way if need be . "" I say . "" Gavnwas looking over her",,
1475,"shoulder . "" That 's a pretty girl ! "" Gay glanced behind her , "" Isn't she","shoulder . ' That 's a prelly gil ! "" Gay glanced bethina her , . Nan't she",,
1476,"lovely , she 's French , a very well known model I believe .","fovely , she's Trench , a very well know model I believe .",,
1477,"Gay , a little puzzled , went through","Gay , a little pusgled , wend theough",,
1478,to the bar . Doc and Lilyan were,to the bac . Doc and hilyon were,,
1479,sitting just inside having coffee .,sitting just inside having coffee .,,
1480,""" Come and join us and bring your",""" Come and join us and being youe",,
1481,"boy friend , "" Doc called . "" No , Doc ! ""","boy faiend , ' doo called . '"" No , Doc . ' """,,
1482,"Lilyan remonstrated . "" They want to be",filyan remonsteated . ' They wand to be,,
1483,"alone . "" "" I 've booked a table at the","alone . "" "" I 've booked a table at thie",,
1484,tonight so come and join us if you,fonight so came and join us it you,,
1485,"can't find a table for two . ""","cani't find a table te two . """,,
1486,The others were all dancing and,The others were all dancing and,,
1487,as Gay drew out a chair and sat,as fay chew out a chain and sat-,,
1488,"down Gavin , without a word , swept","down favin , withont a wod , swept",,
1489,"Simone on to the floor . "" It doesn't mean",simone on to the flao . ' A doesn't meane,,
1490,"anything , "" Gay told herself desperately ,","aniything , "" Pay told herself despacately .",,
1491,trying to understand Gavin's point of,Rying to enderstand favin point of,,
1492,view and remembering the advice,view and remembeing the advice,,
1493,"that Larry had given her , while she","that dany had piven he , while she",,
1494,felt wretched beyond words .,feld wetched beyound woeds .,,
1495,Gay thanked him and walked out on to,goy thauhethim and wolked out an to,,
1496,the terrace thinking that perhaps Gavin,the terace tinking that perhaps govinin,,
1497,had bought a drink and taken it outside .,had bought a drink and token it cutside .,,
1498,"She looked round scanning the tables ,","She looked round scamning the tables ,",,
1499,"then caught her breath , a cold hand","the coughther breat , a cold houd",,
1500,seeming to clutch her heart . Gavin was,sening to dutch ev east . gowin was,,
1501,seated at a small table in a shadowy,seated ot a small table in a shadowy,,
1502,corner talking animatedly to Simone .,coruer taking omimatedey to sinoue .,,
1503,As Gay watched he offered the girl a,as gay watched ax offered the girl a,,
1504,"cigarette and lit it , his hands cupping","cigarette and fit it , eis lands cupping",,
1505,hers in an intimate way .,hos in an etinuate way,,
1506,"Gay stood irresolute for a moment , half","gony stood istesolute for a moment , eay ",,
1507,decided to go back and join Lilyan and,decided to go back and join lieyon and,,
1508,"Doc , while she wanted to do no more than","0oc , while she wanted to do no more thom",,
1509,"run upstairs to her room , knowing that","pen npostairs to her room , kanowing that",,
1510,Gavin although he had told her that he,gowin athough he had fold en that he,,
1511,"loved her , was already flirting with a girl","lovether , was alteady feirting wite a girl",,
1512,that he had only met a few minutes before .,that he hod only met a few minetes before .,,
1513,"Larry's advice flashed through her mind ,","Larry's cidvice flashed througher mind ,",,
1514,"but she turned away , giving a little","bout she turned awary , giving a littee",,
1515,"gesture of hopelessness , knowing that her","gesture of Ropecessues , luowing thather",,
1516,His behaviour was not only boorish and in the worst of,Hhis behaviour was not only boristh and the worst of,,
1517,taste but it was unkind beyond words . She fumbled,tarte but it was untind beyond words . She fumbled,,
1518,with the cigarette packet which lay on the table,with the cigarete packet which lay on the table,,
1519,not wanting to smoke but needing some action,not wanting to smote but needing come action,,
1520,"to help her control her feelings . "" Come and",to help her contrd her feeling . ' Come and,,
1521,"dance , "" Doc's cheery voice came as a","dance , "" Doc's cheery voice came as a",,
1522,"lifeline and Gay got up quickly , mana-","lifeline and bay got up quickly , mana-",,
1523,As he swung her on to the floor Gay saw Gavin,As he swny her on to the foor Gay saw Cavin,,
1524,and Simone go through the doorway that led,and Simone go through the dorway that ted,,
1525,down to the beach . Gay closed her eyes for a,down to the beach . Lay closed her eyes for a,,
1526,moment in disgust . She was fully aware that Gavin,moment in disgust . She was fulf aware that lavin,,
1527,"would make love to the French girl on the sands ,",would make love to the French girl on the sands .,,
1528,and no doubt he would come back soon and,and no doubt he would came back soon and,,
1529,after Simone had left expect her to accept his,after Simone had left expect her to accept his,,
1530,kisses on the way back to the hotel .,"trisses on the way back to the hakel ,",,
1531,Sentence Database P02-109,(to BtbPO2-1OG,,
1532,""" And that 's the man whom you have been eating your",I And that 's the man whom you have been eating your,,
1533,"heart out over ? "" Doc nodded towards the door . "" You","heart out over ? "" Doc nodded towards the door . "" You",,
1534,"may consider him a man , I would say he was a","may consider him a man , I would say he was a",,
1535,"mentally adolescent cad . "" "" Oh , Doc ... "" Gay protested","mentally adolescent cad . "" "" Ch , Doc.. "" bay protested",,
1536,"weakly , "" you don't know Gavin . "" "" I 've only met him","weakly , "" you don't know Gavin . "" "" I 've only met him",,
1537,today but I think I can safely say that I know,today but I think I can sately say that ; know,,
1538,"him a great deal better than you do . ""","him a great deal better than you do . """,,
1539,"Doc gave her hand a shake . "" Wake up","Poc gave her hand a shake . "" Wake up",,
1540,"Gay , and don't even contemplate throwing","Gay , and don't even contemplate throwing",,
1541,yourself away on a chap like that . You 're a,yourself away on a chap like that . You've an,,
1542,"fine girl , intelligent , and pretty , and I had","fine girl , intelligent , and pretty , and I had",,
1543,thought you were sensible too . Don't,thought you were sensible too . Don't,,
1544,make a fool of yourself over someone,make a fool of yourself over someone,,
1545,who doesn't care two jots for your feelings .,"who doesn't care two jots for your feeling , .",,
1546,If he behaves like this now what is your,of he behaves like this now what is your,,
1547,married life going to be like ?,married life going to be like 2,,
1548,"Hell . "" Doc answered for her . "" Just Hell . Never able to","Ad . "" Doc answesed for hev . "" fust hell . Never able to",,
1549,trust him out of your sight and having to put on,trust him out of your sight and having to put on,,
1550,a brave face and pretend that you don't mind,a brave face and pretend that you dout mind,,
1551,whenever he flirts with another woman . He will,wheneves he flints with another wvoman the will,,
1552,"you know , always , and you aren't the type","you know , calways , and you oven't the type",,
1553,"who is tough enough to change him . ""","who is tough encugh to change him . """,,
1554,"Gay nodded . "" I know that you 're right Doc , I think","yay nodded . "" I knowo that you 're right Do , ' think",,
1555,"now that I do realise that , and in any case , "" she added","now that I do nealise that , and in any case , ' she added",,
1556,"a little sadly , "" if I did change Gavin , he wouldn't","a little d4 radly , "" if I did change Gavin , he wouldn't",,
1557,"be the same , if you know what I mean . "" "" You sound","be the same , if you knowo wohat I mean . "" You sound",,
1558,"like Alice in Wonderland , "" Doc gently mocked her , "" and","like Wlice is wandurland , "" Doe gently mocked her , "" and",,
1559,I 'm glad you 're beginning to see that you 're wasting,I 'm glad you 're beginning to see that you're rasting,,
1560,Now let him go and you won't have to wait,Now let him go and you won't have to wait,,
1561,long for the right man for you to come,long for the right man for you to come,,
1562,along . If I was thirty years younger and weren't,along . If I was thirty years younger and weren't,,
1563,married to the sweetest wife in the world,married to the sweetest wife in the world,,
1564,"I 'd marry you myself . "" Gay laughed , Doc was","""id marry you myself . "" Gay laughed . Doc was",,
1565,so kind and nice and she hoped that one,so kind and nice and she hoped that one,,
1566,day she would be able to see the situation,day she would be able to see the situation,,
1567,as it obviously appeared to everyone else .,as it obviously appeared to everyone else .,,
1568,Doc asked Lilyan to dance and once,Doc asked Silgan to dance and ance,,
1569,again Gay found herself alone at the table,again Gay faund herself alone at the table,,
1570,"feeling self-conscious and awkward , sure that","Beling self-conscions and autwand , sme that",,
1571,people were talking about the way Gavin,people were talking about the way Gouin,,
1572,was behaving since they had seen them,was behaving since they had seen them,,
1573,dining together . She opened her bag,edining together . She opened he bay,,
1574,to get out her compact and saw Grace's,its get sut her conpact and saw Ggraces,,
1575,"letter . She drew it out and opened it ,","letters . She chew it out and opened it ,",,
1576,glad to be able to occupy herself .,glad to be able is scury heself .,,
1577,""" So glad that you are having such a lovely time , dearie , """,""" So glad that you are having such a lovely time , dearie . """,,
1578,"it ran . "" Your cards are lovely . I rang up Miss Harland","it nan . "" Your cands are Povely . I nang up this Harland#",,
1579,and have been over to sit with her father and do what,and have been oven to sit with hor falher and do what,,
1580,I can for him so that she can get out to do her shopping .,tI can fon him so that she can gel out to do her shopping .,,
1581,He 's getting on well but is pretty helpless still with his,He's getting on well but is pretly helpless plilf with his,,
1582,No other news except that Elaine is engaged,No other news except Elaine is engaged,,
1583,"and going to marry a foreigner ... ""","and going to marty a foreignar ... """,,
1584,Gay read the rest of the letter then put,bay read the rest of the Letter put,,
1585,"it back in her bag . Elaine was engaged ,","it back in her bay . Elaine was ongaged ,",,
1586,to the man she had spent so much time,to the mas she had spent so much time,,
1587,with at her party . That was why,with at her party . That was why,,
1588,Gavin had come back to her .,bauin had conse back to her .,,
1589,"Everything was quite clear now , and to","Everyting was quite clear now , and to",,
1590,"her own surprise Gay felt no heartbreak ,","her owrn supprise bay felt no heartbreak ,",,
1591,rather a sense of relief now that she,rather a sense of relief now thad she,,
1592,knew why Gavin had come to see,knew why bavin had come to see,,
1593,Because she was second best . The others came back,because she was second best . The others came back to,,
1594,"to the table , all of them making a fuss of her and at once","The table , all of them making a fusr of hos and at onea she",,
1595,"she felt happier . Gay loved them for their warm sympathy ,","felt happior . Bay baved them For thoir warm serpaty ,",,
1596,"knowing that they were real friends , even if they were new ones .","knowing that they wen real , even ite they wen new ones",,
1597,""" That is a pretty dress , "" Lilyan commented , obviously sensing"," That is a protty dress "" Lityan commented , obvioust , sesing",,
1598,"Gay's distress and in a way that Doc , as a man , could not","bay's distrer and in a way that Doc , as a non , could not",,
1599,"understand , knowing that Gay was as much ashamed","understond , knowing That Goy was as mach ashamed",,
1600,for Gavin at the way he was behaving as she,For gain at the way he was Behaving as she,,
1601,""" I made it myself , "" Gay tried to speak","A I made it myolt , "" boy tried to speak",,
1602,Diana Wills often sat on the brand,Piana Wills often sat on the brand,,
1603,new seat outside the hospital,man seat ontside the hospitoy,,
1604,gates and thought vagrant,gotes and thought nagrant,,
1605,thoughts . At one time she had,thonghts . At one time she had,,
1606,watched the workmen constructing,makched the corkmen conshncking,,
1607,"the roundabout , which was","the round-abont , which mas pet",,
1608,to put St. John's Casualty Department,to put St. John's casualty Deportment,,
1609,"out of operation - in theory , at","ont of openation - in theany , at",,
1610,least . She would think of her-,least . She would think of he-,,
1611,self as a stranger in these parts,self as a stainge in these parts,,
1612,studying these cross-roads . Which,stndying these crossrads . Which,,
1613,""" If I were a tramp I would simply blow a",If I were a tramp I would simply blow a,,
1614,"feather , "" she decided , rather envying the gentle-","feather , "" she decided , rather enuying the sentle-",,
1615,"man of the road his freedom of decision , and","man of the rood his freedom of decision , and",,
1616,wishing life would sometimes allow serious-minded,wishing life would sometines allow serions-minded,,
1617,women doctors to blow a feather and follow its,women doctors to blow a feather and fallow its,,
1618,"airy directions accordingly . "" If I were needing a","airy directions accordongly . "" If Iwere needong a",,
1619,"job I 'd go to London , of course , "" she went on .","jot I 'd go to London , of course , "" she went on .",,
1620,""" There are all sorts of wonder-",""" There are all sorts of wonder-",,
1621,ful jobs in London and I could,ful js in London and I could,,
1622,"take my pick , whereas in Yarmouth","talse my pids , whereas in farmouth",,
1623,one has to know something about fishing,one has to know something about fiking,,
1624,and in Liverpool they 'd want sea-farers .,and in liver pod they 'd want sea-farers .,,
1625,I don't think I 'd go to Edinburgh un-,I don't thitr I 'd go to Eoinburgh un-,,
1626,less I was a Scot and wanting to get,lus I was a scot and wansingto get,,
1627,"home , or perhaps a student studying to","home , or perhags a stendent studying to",,
1628,"be a doctor , and I already know","be a doctor , and I already know",,
1629,"She was engaged to Nigel , had been for two years .","She was engaged to Nigel , had been for two years .",,
1630,"Sometimes they talked on the theme of "" when we get married "" ,","Sometimes they lalked on the theme of "" when we ger maried "" ,",,
1631,"and then all was wonderful , and perhaps it had only been","and then all was wonderue , and perhaps it had ony been",,
1632,"a slip of the tongue when Nigel had said , only last","a slip of the Fongue when Nige had said , only last",,
1633,"evening , "" If we get married , old girl , you 'll have to stop","evering , ' If we ge married , old gil , you l have to stop",,
1634,She couldn't remember what they had been talking about or,The coulder't remember what they had been talking about ar,,
1635,"which ' lark ' she would have to stop , only that significant tiny","which "" lask "" she would have to tps , only that sipificant timg",,
1636,"word shouted into her very soul a horn of warning , and","word sharted into hes vey soul a hom of warning , and",,
1637,"with it was coupled a disembodied fragment of information ,","with it was coupled a dsumbodied frayment of infrcuaticn ,",,
1638,which now took on an ominous significance : Nigel had been,which now # took an ominous syuificance : Nigh had been,,
1639,seen in Farlingham on an occasion he had sworn he had,seen in Farlingham on an ocasion he had swon he had,,
1640,been standing in for Luke Parsons at his surgery in,been standing in for linke Parsons at his surpey in,,
1641,Now Nigel had every right to go where he,Now Migel had everg right to go where he,,
1642,liked during his off-duty periods,liked # during his off-duty periols,,
1643,when she was not free ; this much they had,when she was not free ; this much they had,,
1644,conceded one to the other . They rarely,conceded one to the other . They rarely,,
1645,"found they were off duty together , and","found they were off duty together , and",,
1646,the situation would have been intolerable,the situation would have deen intolesadle,,
1647,had there not been some give and take,had there not seen given and take,,
1648,about their relationship . So when Nigel,adout their relationship . So when Migel,,
1649,had told her about taking Luke's,had told her about taking Lukre's,,
1650,"evening surgery she had said ,","evening surgery she had said ,",,
1651,""" Bless you ! I hope Luke is suitably grateful , darling . "" "" Oh , well , ""","(Os wan ! ' tore lukl s suirasus Genefu , smrarivs . "" Ot ,wa , """,,
1652,"he shrugged diffidently , "" I like the work . One gets plenty","Hhe SAuatt siffidarys , "" I liRE THE wak . ONE prab",,
1653,"of variety and it 's a change . "" Nigel was the hospital's","of IAFIES Rw0 ITs A ARE . "" Nak wAS The Haspime's",,
1654,"Junior Medical Officer . "" You won't be free about nine , I","I guvice mosier offrcen . ' Yon NowT S7 t Aour wiwe , '",,
1655,"suppose , to meet me for supper somewhere ? "" she had","Support , P met ma Pon supre Somer ? "" SvE tho",,
1656,""" Hardly likely , my sweet . Luke's surgery goes on for",""" Marly likely , my sweet . Luke's surgery goes on for",,
1657,"hours . If they get in before eight-thirty , even","hows . If they get in before eight-thirty , even",,
1658,"though they 're standing on one another's toes ,","though thay 're standing on one another's toes ,",,
1659,"I 've got to see 'em . If I am free , though ,","I 've yot to seelem . It I am free , though ,",,
1660,"I 'll give you a ring , O.K. ? "" O.K. , "" she had","I ll give you a ving . U.K. ? "" U.K. ., she had",,
1661,replied readily . So how could Nigel have,replied readily . So how could Nigel have,,
1662,"been at the Load of Trouble roadhouse ,","been at the Load of Trouble road house ,",,
1663,dancing with a blonde at eight-thirty that,dancing with a blonde at eight -thirty that,,
1664,""" No , "" she told Phil Gubbins , a junior",""" No , "" she told Phil Gublins , a junian",,
1665,"houseman , "" it wasn't Nigel you saw ,","houseman , "" it wasn't Migel you naw ,",,
1666,"my lad . "" "" It was Nigel's car , anyway .","my lad . "" "" It was Digel's car , anyway .",,
1667,"NUF 121 . "" "" He probably loaned his car","WUE 121 . "" . He probably loaned his car",,
1668,"to somebody , Phil . He 's always doing that . ""","to samebody , Phil . He's always doing that . '",,
1669,"Young Gubbins shrugged . "" I didn't see his","oung Gubi shruaged . "" Ididn't see his",,
1670,"face , Di , but it certainly looked like","face , Di , but it certainly looked liker",,
1671,Nigel from the back . D.j. and all .,Migel from the back . P ) . and all .,,
1672,Of course such as I couldn't afford,of course such as y rouldn't affond,,
1673,"to go into the Load of Trouble . ""","to go into the doad of brouble . """,,
1674,But after that slight slip of the tongue on Nigel's part she had,But after that slight sip of the tongue on Vigel's past he had,,
